,MKOA WA ARUSHA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
,Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Murriet,Murriet,1,Muriet Mashariki,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Murriet,Murriet,2,Oldonyokumur,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Murriet,Murriet,3,Eluwanyi,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Murriet,Murriet,4,Nadokati Kusini,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Terrat,Terrat,5,Mkono Eletayo,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Terrat,Terrat,6,Maskiria,,0.5,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Terrat,Terrat,7,Bondeni Kati kusini,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Terrat,Terrat,8,Olepolosi,,0.3,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Omoti,Olmoti,9,Nafco,,2.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Omoti,Olmoti,10,Mirongoine,,0.0,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arusha,Arusha Jiji,Arusha Mjini,Moshono,Moshono,11,Losirway,,1.5,,1,,1.6,1.1,2.7,50,3,53
,Arusha,Arumeru,Arusha DC,Arumeru Magharibi,Mwandet,Imbibia,12,Sugumen,,2.0,,1,,1.6,1.1,2.7,50,3,53
